Ключевое слово,Автор,Тип,Сопровождение,Вопрос,Начальная форма,Роль,Собственное ли,Одушевлённость,Род,Склонение,Число,Падеж,Разряд,Полнота формы,Степень сравнения,Совершенность,Возвратность,Переходность,Спряжение,Наклонение,Время,Лицо,Структура,Количественное/порядковое,Действительное/страдательное,Производность,Подразряд
Подсыхая,В. Г. Распутин,Деепричастие,"Зарево на западе солнца слабело, остывая и скатываясь; расплавленное золото, утончаясь и подсыхая, растеклось по горизонту двумя оранжевыми крыльями, растянутыми в полете.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Отражаясь,А. С. Серафимович,Деепричастие,"Безжизненные туманы дымчато висят над водой, отражаясь призрачными очертаниями.",делая,нет,обстоятельство.,,,,,,,,,,несов.,возвр.,,,,,,,,,,
Затаившись,А. С. Серафимович,Деепричастие,"Ветер чутко дремлет, затаившись в иглистых ветвях, не зарябит уснувшей воды, не шелохнёт зелёной хвои.","как,сделав",нет,обстоятельство.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Шлёпая,А. С. Серафимович,Деепричастие,"Стаи перелётных уток, шлёпая крыльями, беспокойно подымаются с воды, а лебеди, изогнув длинные шеи, белея в воде отражениями, чутко прислушиваются к лесному эху.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Определяя,М. Горький,Деепричастие,"Бабушка никогда не плутала в лесу, безошибочно определяя дорогу дому.",делая,нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Отряхая,М. Горький,Деепричастие,"Надо мною звенит хвойный лес, отряхая с зелёных лап капли росы.",делая,нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Напугав,М. Горький,Деепричастие,"Где-то близко ударил гром, напугав всех.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Сидя,М. Горький,Деепричастие,"Сидя у окна, бабушка сучила нитки для кружев.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Простясь,М. Горький,Деепричастие,"Девочка капризничает, не хочет идти спать, не простясь со мною.",сделав,нет,сказуемое.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Протянув,М. Горький,Деепричастие,"«Прощай, до завтра», — сказала девочка, протянув мне руку.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Прочитав,М. Горький,Деепричастие,"Прочитав сказки Пушкина несколько раз, я уже знал их на память.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Думая,И. А. Крылов,Деепричастие,"Волк ночью, думая залезть в овчарню, попал на псарню.",делая,нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Почуя,И. А. Крылов,Деепричастие,"Почуя серого так близко забияку, псы залились в хлевах.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Взгромоздясь,И. А. Крылов,Деепричастие,"На ель Ворона взгромоздясь, позавтракать совсем уж было собралась.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Увидевши,И. А. Крылов,Деепричастие,"Лягушка на лугу, увидевши Вола, затеяла сама в дородстве с ним сравняться.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Любя,И. А. Крылов,Деепричастие,"Уединения любя, Чиж робкий на заре чирикал про себя.",делая,нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Отворотясь,А. С. Пушкин,Деепричастие,"Старик угрюмо сидел на облучке, отворотясь от меня, и молчал, изредка только покрякивая.","как,сделав",нет,обстоятельство.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Покрякивая,А. С. Пушкин,Деепричастие,"Старик угрюмо сидел на облучке, отворотясь от меня, и молчал, изредка только покрякивая.",делая,нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Забирая,И. С. Тургенев,Деепричастие,"Я поскорей вскарабкался на другую сторону и пошёл, забирая влево вдоль осинника.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Испробовав,А. П. Чехов,Деепричастие,"Через полминуты соловей пустил высокую мелкую дробь и, испробовав таким образом свой голос, начал петь",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Распластав,М. Горький,Деепричастие,"В небе неподвижно стояли ястребы, распластав крылья и устремив глаза свои в траву.","как,сделав",нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Оглянувшись,Е. И. Носов,Деепричастие,"Ни разу не оглянувшись, Анфиска косила всё с тем же упорством.","как,сделав",нет,обстоятельство.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Оставшись,Е. И. Носов,Деепричастие,"Оставшись одна и не зная, что делать, Варька длинной тенью бродила по притихшему птичнику.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Походив,Е. И. Носов,Деепричастие,"Походив вокруг балагана и так и не найдя себе дела, Варька вернулась в тракторный вагончик.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Радуясь,Е. И. Носов,Деепричастие,"Она ела не спеша, радуясь куску хлеба, с удовольствием хрустя крупинками соли.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,возвр.,,,,,,,,,,
Согнувшись,М. Горький,Деепричастие,"У порога, на сундуке, сидит бабушка, согнувшись, не двигаясь, не дыша.","как,сделав",нет,обстоятельство.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Дыша,М. Горький,Деепричастие,"У порога, на сундуке, сидит бабушка, согнувшись, не двигаясь, не дыша.","как,делая",нет,сказуемое.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Перебивая,М. Горький,Деепричастие,"Дед и бабушка слушали мать молча, не перебивая.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Негодуя,М. Горький,Деепричастие,"Мать, негодуя, рассказывала о моих проделках.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Ответив,М. Горький,Деепричастие,"Не ответив, мать смотрела в лицо мне так, что я окончательно растерялся.",сделав,нет,обстоятельство.,,,,,,,,,,соверш.,невозвр.,,,,,,,,,,
Коснувшись,М. Горький,Деепричастие,"Вдруг дед вышел на середину комнаты, встал на колени и, не устояв, ткнулся вперёд, коснувшись рукою пола.","как,сделав",нет,сказуемое.,,,,,,,,,,соверш.,возвр.,,,,,,,,,,
Недоумевая,М. Горький,Деепричастие,"Мать, недоумевая, улыбалась.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Протягиваясь,М. Ю. Лермонтов,Деепричастие,"Лиловые облака, протягиваясь к западу, едва пропускали красные лучи.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,возвр.,,,,,,,,,,
Всплывая,М. Ю. Лермонтов,Деепричастие,"Луна, всплывая на синее небо, осеребрила струи вьющейся речки и туманную отдалённость.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,невозвр.,,,,,,,,,,
Поднимаясь,М. Ю. Лермонтов,Деепричастие,"Медленно поднимаясь на хребты волн, быстро опускаясь с них, приближалась к берегу лодка.","как,делая",нет,обстоятельство.,,,,,,,,,,несов.,возвр.,,,,,,,,,,
Вновь,Д. В. Веневитинов,Наречие,"Века промчатся, и быть может, что кто-нибудь мой прах встревожит и в нём тебя откроет вновь.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Вдали,А. С. Хомяков,Наречие,"Когда вдали от шума света душа восторгами согрета, тогда живёт он.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Навек,М. Ю. Лермонтов,Наречие,Так чувства лучшие мои обмануты навек тобою!,,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Настороже,В. Г. Короленко,Наречие,"Обыватели, то и дело выходя на улицу, стучали палками по заборам, давая кому-то знать, что они настороже.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
По-прежнему,В. А. Каверин,Наречие,По-прежнему в десять часов утра Кораблёв появлялся в школе.,,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Всмятку,Г. И. Успенский,Наречие,"Бывают, однако, невероятные случаи, когда получаются в результате стеариновые свечи и сапоги всмятку.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Навстречу,М. Ю. Лермонтов,Наречие,"Встречу ль глаза твои лазурно-глубокие, душа им навстречу из груди просится…",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Наизусть,М. А. Светлов,Наречие,Он песенку эту твердил наизусть…,,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Врассыпную,В. В. Бианки,Наречие,"Ласточки переполошились: все врассыпную, кто куда — мигом разлетелась вся стая.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Тихо,И. С. Тургенев,Наречие,"Листья колебались в вышине, и их жидко-зеленоватые тени тихо скользили взад и вперёд по его тщедушному телу, кое-как закутанному в тёмный армяк, по его маленькому лицу.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Вперёд,И. С. Тургенев,Наречие,"Листья колебались в вышине, и их жидко-зеленоватые тени тихо скользили взад и вперёд по его тщедушному телу, кое-как закутанному в тёмный армяк, по его маленькому лицу.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Кое-как,И. С. Тургенев,Наречие,"Листья колебались в вышине, и их жидко-зеленоватые тени тихо скользили взад и вперёд по его тщедушному телу, кое-как закутанному в тёмный армяк, по его маленькому лицу.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Где-нибудь,И. С. Тургенев,Наречие,"Где-нибудь, далеко-далеко, оканчивая собою тонкую ветку, неподвижно стоит отдельный листок на голубом клочке прозрачного неба, и рядом с ним качается другой, напоминая своим движением игру рыбьего плёса, как будто движение то самовольное и не производится ветром.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Далеко-далеко,И. С. Тургенев,Наречие,"Где-нибудь, далеко-далеко, оканчивая собою тонкую ветку, неподвижно стоит отдельный листок на голубом клочке прозрачного неба, и рядом с ним качается другой, напоминая своим движением игру рыбьего плёса, как будто движение то самовольное и не производится ветром.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Чуть-чуть,М. Ю. Лермонтов,Наречие,"Я там чуть-чуть не умер с голода, да ещё вдобавок меня хотели утопить.",,нет,обстоятельство.,,,,,,,меры/степени,,нет ст. сравн.,,,,,,,,,,,,
Поздно,М. Ю. Лермонтов,Наречие,Я приехал на перекладной тележке поздно ночью.,,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Внизу,М. Ю. Лермонтов,Наречие,"Берег обрывом спускался к морю почти у самых стен её, и внизу с беспрерывным ропотом плескались тёмно-синие волны.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Сзади,А. П. Чехов,Наречие,"Солнце выглянуло сзади из-за города и тихо, без хлопот принялось за свою работу.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Сначала,А. П. Чехов,Наречие,"Сначала, далеко впереди, где небо сходится с землёю, около курганчиков и ветряной мельницы, которая издали похожа на маленького человечка, размахивающего руками, поползла по земле широкая ярко-жёлтая полоса; через минуту такая же полоса засветилась несколько ближе, поползла вправо и охватила холмы; что-то тёплое коснулось Егорушкиной спины, полоса света, подкравшись сзади, шмыгнула через бричку и лошадей, понеслась навстречу другим полосам, и вдруг вся широкая степь сбросила с себя утреннюю полутень, улыбнулась и засверкала росой.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Далеко,А. П. Чехов,Наречие,"Сначала, далеко впереди, где небо сходится с землёю, около курганчиков и ветряной мельницы, которая издали похожа на маленького человечка, размахивающего руками, поползла по земле широкая ярко-жёлтая полоса; через минуту такая же полоса засветилась несколько ближе, поползла вправо и охватила холмы; что-то тёплое коснулось Егорушкиной спины, полоса света, подкравшись сзади, шмыгнула через бричку и лошадей, понеслась навстречу другим полосам, и вдруг вся широкая степь сбросила с себя утреннюю полутень, улыбнулась и засверкала росой.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Впереди,А. П. Чехов,Наречие,"Сначала, далеко впереди, где небо сходится с землёю, около курганчиков и ветряной мельницы, которая издали похожа на маленького человечка, размахивающего руками, поползла по земле широкая ярко-жёлтая полоса; через минуту такая же полоса засветилась несколько ближе, поползла вправо и охватила холмы; что-то тёплое коснулось Егорушкиной спины, полоса света, подкравшись сзади, шмыгнула через бричку и лошадей, понеслась навстречу другим полосам, и вдруг вся широкая степь сбросила с себя утреннюю полутень, улыбнулась и засверкала росой.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Вдруг,А. П. Чехов,Наречие,"Полоса света, подкравшись сзади, шмыгнула через бричку и лошадей, понеслась навстречу другим полосам, и вдруг вся широкая степь сбросила с себя утреннюю полутень, улыбнулась и засверкала росой.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Трудно,А. П. Чехов,Наречие,От стройной фигуры и зелёной одежды тополя трудно оторвать глаза.,,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Где-то,А. П. Чехов,Наречие,Где-то далеко влево плакали чибисы.,,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Влево,А. П. Чехов,Наречие,Где-то далеко влево плакали чибисы.,,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Мягко,А. П. Чехов,Наречие,"Мягко картавя, журчал ручеёк.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Плавно,А. П. Чехов,Наречие,"Летит коршун над самой землёй, плавно взмахивая крыльями, и вдруг останавливается в воздухе.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Смело,пословица,Наречие,За правое дело сражайся смело.,,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Всегда,пословица,Наречие,"Кто за правое дело стоит, тот всегда победит.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Дружно,пословица,Наречие,Дружно за мир стоять — войне не бывать.,,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Твёрдо,пословица,Наречие,"Тот в слове стоит твёрдо, кому слово дорого.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Недавно,Н. А. Некрасов,Наречие,"Где быстрые, шумные воды недавно свободно текли, сегодня прошли пешеходы, обозы с товаром прошли.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Свободно,Н. А. Некрасов,Наречие,"Где быстрые, шумные воды недавно свободно текли, сегодня прошли пешеходы, обозы с товаром прошли.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Рано,Н. А. Некрасов,Наречие,"Рано я, горькая, встала, дома не ела, с собой не брала, до ночи пашню пахала, ночью я косу клепала, утром косить я пошла.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Ночью,Н. А. Некрасов,Наречие,"Рано я, горькая, встала, дома не ела, с собой не брала, до ночи пашню пахала, ночью я косу клепала, утром косить я пошла.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Утром,Н. А. Некрасов,Наречие,"Рано я, горькая, встала, дома не ела, с собой не брала, до ночи пашню пахала, ночью я косу клепала, утром косить я пошла.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Везде,С. Н. Сергеев-Ценский,Наречие,Пропитанная хвойной смолою тишины была везде перед ним: слева и справа и сзади него.,,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Подряд,С. Н. Сергеев-Ценский,Наречие,"Однажды, незаметно как-то часа два подряд собирал он последние грибы.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Всюду,С. Н. Сергеев-Ценский,Наречие,"Пахло чем-то весенним в воздухе, и от этого всюду подымалось живое беспокойство.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Влажно,С. Н. Сергеев-Ценский,Наречие,Весенними дождями было дочиста вымыто небо и сквозь сильные тёмные верхушки голубело влажно.,,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Дочиста,С. Н. Сергеев-Ценский,Наречие,Весенними дождями было дочиста вымыто небо и сквозь сильные тёмные верхушки голубело влажно.,,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Вперевалку,С. Н. Сергеев-Ценский,Наречие,"Синие грачи не кричали: спокойно ходили вперевалку, охорашивались не спеша.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Тут,И. А. Крылов,Наречие,"Сосед соседа звал откушать, но умысел другой тут был: хозяин музыку любил и заманил к себе соседа певчих слушать",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Здесь,И. А. Крылов,Наречие,Я здесь останусь смело.,,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Нередко,И. А. Крылов,Наречие,"Случается нередко нам и труд и мудрость видеть там, где стоит только догодаться за дело просто взяться.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Там,И. А. Крылов,Наречие,"Случается нередко нам и труд и мудрость видеть там, где стоит только догодаться за дело просто взяться.",,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Никак,И. А. Крылов,Наречие,"Потел, потел, но, наконец, устал, от ларчика отстал и, как открыть его, никак не догадался.",,нет,обстоятельство.,,,,,,,образа,,нет ст. сравн.,,,,,,,,,,,,
Куда,И. А. Крылов,Наречие,Куда пророческий в нём дар девался?,,нет,обстоятельство.,,,,,,,места,,нет ст. сравн.,,,,,,,,,,,,
Когда-то,И. А. Крылов,Наречие,"Когда-то, в старину, Лев с Барсом вёл предолгую войну.",,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Вечно,А. А. Блок,Наречие,Там вечно тень.,,нет,обстоятельство.,,,,,,,времени,,нет ст. сравн.,,,,,,,,,,,,
Я,А. С. Пушкин,Местоимение,"Я вас любил: любовь ещё, быть может, в душе моей угасла не совсем.",кто,нет,подлежащее.,,,,,ед.ч.,И.п.,личное,,,,,,,,,1-е лицо,,,,,
Ты,М. Ю. Лермонтов,Местоимение,"Ты жива ещё, моя старушка?",кто,нет,подлежащее.,,,,,ед.ч.,И.п.,личное,,,,,,,,,2-е лицо,,,,,
Он,И. С. Тургенев,Местоимение,Он был человек крайне странный.,"кто,что",нет,подлежащее.,,,,,ед.ч.,И.п.,личное,,,,,,,,,3-е лицо,,,,,
Она,Л. Н. Толстой,Местоимение,"Она была так хороша, что невольно заставляла любоваться собой.",кто,нет,подлежащее.,,,,,ед.ч.,И.п.,личное,,,,,,,,,3-е лицо,,,,,
Оно,А. П. Чехов,Местоимение,"Оно, конечно, так, но всё же не совсем.",что,нет,подлежащее.,,,,,ед.ч.,И.п.,личное,,,,,,,,,3-е лицо,,,,,
Мы,Н. В. Гоголь,Местоимение,Мы все учились понемногу чему-нибудь и как-нибудь.,кто,нет,подлежащее.,,,,,мн.ч.,И.п.,личное,,,,,,,,,1-е лицо,,,,,
Вы,А. С. Пушкин,Местоимение,"Вы, конечно, шутите, господа?",кто,нет,подлежащее.,,,,,мн.ч.,И.п.,личное,,,,,,,,,2-е лицо,,,,,
Они,А. С. Грибоедов,Местоимение,"Они счастливы, а я страдаю.",кто,нет,подлежащее.,,,,,мн.ч.,И.п.,личное,,,,,,,,,3-е лицо,,,,,
Свои,А. Н. Островский,Местоимение,Не в свои сани не садись.,чьи,свой,определение.,,,,,мн.ч.,И.п.,возвратное,,,,,,,,,,,,,,
Мой,М. Ю. Лермонтов,Местоимение,Мой дядя самых честных правил.,чей,мой,определение.,,,,,ед.ч.,И.п.,притяжательное,,,,,,,,,,,,,,
Твой,А. С. Пушкин,Местоимение,"Твой стих, как божий дух, носился над толпой.",чей,твой,определение.,,,,,ед.ч.,И.п.,притяжательное,,,,,,,,,,,,,,
Наш,Н. А. Некрасов,Местоимение,Наш пострел везде поспел.,чей,наш,определение.,,,,,ед.ч.,И.п.,притяжательное,,,,,,,,,,,,,,
Ваш,И. А. Гончаров,Местоимение,Ваш бриллиант в моих руках.,чей,ваш,определение.,,,,,ед.ч.,И.п.,притяжательное,,,,,,,,,,,,,,
Его,Л. Н. Толстой,Местоимение,Его лицо выражало глубокую задумчивость.,чей,нет,определение.,,,,,ед.ч.,нескл.,притяжательное,,,,,,,,,,,,,,
Её,А. П. Чехов,Местоимение,Её глаза сияли от счастья.,чья,нет,определение.,,,,,ед.ч.,нескл.,притяжательное,,,,,,,,,,,,,,
Их,Ф. М. Достоевский,Местоимение,Их дом был полной чашей.,чьи,нет,определение.,,,,,мн.ч.,нескл.,притяжательное,,,,,,,,,,,,,,
Свой,А. С. Пушкин,Местоимение,Свой свояка видит издалека.,чей,свой,определение.,,,,,ед.ч.,И.п.,притяжательное,,,,,,,,,,,,,,
Тот,Н. В. Гоголь,Местоимение,"Тот неловкий момент, когда все замолчали.","какой,который",тот,определение.,,,,,ед.ч.,И.п.,указательное,,,,,,,,,,,,,,
Этот,И. С. Тургенев,Местоимение,Этот человек внушал мне невольное уважение.,"какой,который",этот,определение.,,,,,ед.ч.,И.п.,указательное,,,,,,,,,,,,,,
Такой,А. П. Чехов,Местоимение,Такой пустяк может испортить всё.,какой,такой,определение.,,,,,ед.ч.,И.п.,указательное,,,,,,,,,,,,,,
Таков,М. Ю. Лермонтов,Местоимение,"Таков был век, таковы были люди.",какой,"таков,такой",сказуемое.,,,,,ед.ч.,И.п.,указательное,,,,,,,,,,,,,,
Кто,А. С. Пушкин,Местоимение,Кто там в малиновом берете?,"кто,",нет,подлежащее.,,,,,ед.ч.,И.п.,вопросительное,,,,,,,,,,,,,,
Что,Ф. М. Достоевский,Местоимение,Что делать? — спрашивал я себя.,"что,",нет,подлежащее.,,,,,ед.ч.,И.п.,вопросительное,,,,,,,,,,,,,,
Какой,Н. В. Гоголь,Местоимение,Какой же русский не любит быстрой езды?,"какой,",нет,определение.,,,,,ед.ч.,И.п.,вопросительное,,,,,,,,,,,,,,
Который,И. А. Гончаров,Местоимение,Который час? — спросил он.,"который,",нет,подлежащее.,,,,,ед.ч.,И.п.,вопросительное,,,,,,,,,,,,,,
Чей,Л. Н. Толстой,Местоимение,Чей это конь стоит у ворот?,"чей,",нет,определение.,,,,,ед.ч.,И.п.,вопросительное,,,,,,,,,,,,,,
Кто,А. С. Пушкин,Местоимение,"Кто раз любил, уж тот любить не может.","кто,",нет,подлежащее.,,,,,ед.ч.,И.п.,относительное,,,,,,,,,,,,,,
Что,Ф. М. Достоевский,Местоимение,"Что сбудется, то не минуется.","что,",нет,подлежащее.,,,,,ед.ч.,И.п.,относительное,,,,,,,,,,,,,,
Какой,Н. А. Некрасов,Местоимение,Какой же свет без чудес?,"какой,",нет,определение.,,,,,ед.ч.,И.п.,относительное,,,,,,,,,,,,,,
Которую,А. С. Пушкин,Местоимение,"Вот мельница, которую построил мой дед.","которую,какую,",который,дополнение.,,,,,ед.ч.,В.п.,относительное,,,,,,,,,,,,,,
Чей,А. П. Чехов,Местоимение,"Чей труд пропал даром, тот сам виноват.","чей,",нет,определение.,,,,,ед.ч.,И.п.,относительное,,,,,,,,,,,,,,
Весь,М. Ю. Лермонтов,Местоимение,Весь мир насилья мы разрушим.,какой,весь,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Всякий,А. С. Пушкин,Местоимение,Всякий сущий в ней язык.,какой,всякий,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Каждый,Л. Н. Толстой,Местоимение,Каждый человек есть история.,какой,каждый,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Иной,Ф. М. Достоевский,Местоимение,Иной раз и жизнь надоест.,какой,иной,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Любой,А. П. Чехов,Местоимение,Любой ценой избегайте скучных людей.,какой,любой,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Сам,И. А. Гончаров,Местоимение,Сам обманываться рад.,какой,сам,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Самый,А. П. Чехов,Местоимение,Самый лучший день — сегодня.,какой,самый,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Другой,М. Ю. Лермонтов,Местоимение,Другой мне дороги нет.,какой,другой,определение.,,,,,ед.ч.,И.п.,определительное,,,,,,,,,,,,,,
Некто,Ф. М. Достоевский,Местоимение,Некто в сером подошёл ко мне.,кто,нет,подлежащее.,,,,,ед.ч.,И.п.,неопределённое,,,,,,,,,,,,,,
Нечто,Н. В. Гоголь,Местоимение,Нечто странное произошло вчера.,что,нет,подлежащее.,,,,,ед.ч.,И.п.,неопределённое,,,,,,,,,,,,,,
Некоторый,И. С. Тургенев,Местоимение,Некоторый успех был уже заметен.,какой,некоторый,определение.,,,,,ед.ч.,И.п.,неопределённое,,,,,,,,,,,,,,
Несколько,А. С. Пушкин,Местоимение,Несколько минут прошло в молчании.,сколько,нет,обстоятельство.,,,,,мн.ч.,И.п.,неопределённое,,,,,,,,,,,,,,
Кто-то,Л. Н. Толстой,Местоимение,Кто-то постучал в дверь.,кто,нет,подлежащее.,,,,,ед.ч.,И.п.,неопределённое,,,,,,,,,,,,,,
Какой-то,А. П. Чехов,Местоимение,Какой-то странный звук раздался вдали.,какой,нет,определение.,,,,,ед.ч.,И.п.,неопределённое,,,,,,,,,,,,,,
Что-то,Ф. М. Достоевский,Местоимение,Что-то шевельнулось в темноте.,что,нет,подлежащее.,,,,,ед.ч.,И.п.,неопределённое,,,,,,,,,,,,,,
Никто,Н. В. Гоголь,Местоимение,Никто не пришёл на помощь.,кто,нет,подлежащее.,,,,,ед.ч.,И.п.,отрицательное,,,,,,,,,,,,,,
Ничто,М. Ю. Лермонтов,Местоимение,Ничто не вечно под луной.,что,нет,подлежащее.,,,,,ед.ч.,И.п.,отрицательное,,,,,,,,,,,,,,
Никакой,А. С. Пушкин,Местоимение,Никакой радости не чувствовал он.,какой,никакой,определение.,,,,,ед.ч.,И.п.,отрицательное,,,,,,,,,,,,,,
Ничей,И. С. Тургенев,Местоимение,Ничей голос не нарушал тишины.,чей,ничей,определение.,,,,,ед.ч.,И.п.,отрицательное,,,,,,,,,,,,,,
В,А. С. Пушкин,Предлог,В тот год осенняя погода стояла долго на дворе.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,ВРЕМЕНИ
К,Н. В. Гоголь,Предлог,К вечеру собралась гроза.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,ВРЕМЕНИ
